Kategoria;Grupa;Podgrupa (wymiary);Wymiar 1;Wymiar 2;Wymiar 3;Jednostka miary;"2002";"2011";
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwo domowe z właścicielem zwierząt gospodarskich (Wymiary: Rodzaje gospodarstw)";"nierodzinne 1 osobowe";"";"";"gosp.";0;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwo domowe z właścicielem zwierząt gospodarskich (Wymiary: Rodzaje gospodarstw)";"nierodzinne 2 osobowe";"";"";"gosp.";0;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwo domowe z właścicielem zwierząt gospodarskich (Wymiary: Rodzaje gospodarstw)";"nierodzinne 3 osobowe";"";"";"gosp.";0;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwo domowe z właścicielem zwierząt gospodarskich (Wymiary: Rodzaje gospodarstw)";"nierodzinne 4 i więcej osobowe";"";"";"gosp.";0;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci (Wymiary: Typ rodziny; Liczba dzieci)";"ogółem";"ogółem";"";"-";93675;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci (Wymiary: Typ rodziny; Liczba dzieci)";"ogółem";"z jednym dzieckiem";"";"-";54750;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci (Wymiary: Typ rodziny; Liczba dzieci)";"ogółem";"z dwójką dzieci";"";"-";31854;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci (Wymiary: Typ rodziny; Liczba dzieci)";"ogółem";"z trójką dzieci lub więcej";"";"-";7071;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci (Wymiary: Typ rodziny; Liczba dzieci)";"małżeństwa z dziećmi";"ogółem";"";"-";66595;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci (Wymiary: Typ rodziny; Liczba dzieci)";"małżeństwa z dziećmi";"z jednym dzieckiem";"";"-";35552;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci (Wymiary: Typ rodziny; Liczba dzieci)";"małżeństwa z dziećmi";"z dwójką dzieci";"";"-";25432;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci (Wymiary: Typ rodziny; Liczba dzieci)";"małżeństwa z dziećmi";"z trójką dzieci lub więcej";"";"-";5611;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci oraz typu rodziny (Wymiary: Typ rodziny; Liczba dzieci)";"ogółem";"ogółem";"";"-";93675;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci oraz typu rodziny (Wymiary: Typ rodziny; Liczba dzieci)";"ogółem";"z jednym dzieckiem";"";"-";54750;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci oraz typu rodziny (Wymiary: Typ rodziny; Liczba dzieci)";"ogółem";"z dwójką dzieci";"";"-";31854;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci oraz typu rodziny (Wymiary: Typ rodziny; Liczba dzieci)";"ogółem";"z trójką dzieci lub więcej";"";"-";7071;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci oraz typu rodziny (Wymiary: Typ rodziny; Liczba dzieci)";"małżeństwa z dziećmi";"ogółem";"";"-";66595;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci oraz typu rodziny (Wymiary: Typ rodziny; Liczba dzieci)";"małżeństwa z dziećmi";"z jednym dzieckiem";"";"-";35552;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci oraz typu rodziny (Wymiary: Typ rodziny; Liczba dzieci)";"małżeństwa z dziećmi";"z dwójką dzieci";"";"-";25432;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci oraz typu rodziny (Wymiary: Typ rodziny; Liczba dzieci)";"małżeństwa z dziećmi";"z trójką dzieci lub więcej";"";"-";5611;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci oraz typu rodziny (Wymiary: Typ rodziny; Liczba dzieci)";"partnerzy z dziećmi";"ogółem";"";"-";2314;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci oraz typu rodziny (Wymiary: Typ rodziny; Liczba dzieci)";"partnerzy z dziećmi";"z jednym dzieckiem";"";"-";1466;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci oraz typu rodziny (Wymiary: Typ rodziny; Liczba dzieci)";"partnerzy z dziećmi";"z dwójką dzieci";"";"-";612;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci oraz typu rodziny (Wymiary: Typ rodziny; Liczba dzieci)";"partnerzy z dziećmi";"z trójką dzieci lub więcej";"";"-";236;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci oraz typu rodziny (Wymiary: Typ rodziny; Liczba dzieci)";"samotne matki";"ogółem";"";"-";22070;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci oraz typu rodziny (Wymiary: Typ rodziny; Liczba dzieci)";"samotne matki";"z jednym dzieckiem";"";"-";15635;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci oraz typu rodziny (Wymiary: Typ rodziny; Liczba dzieci)";"samotne matki";"z dwójką dzieci";"";"-";5311;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci oraz typu rodziny (Wymiary: Typ rodziny; Liczba dzieci)";"samotne matki";"z trójką dzieci lub więcej";"";"-";1124;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci oraz typu rodziny (Wymiary: Typ rodziny; Liczba dzieci)";"samotni ojcowie";"ogółem";"";"-";2696;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci oraz typu rodziny (Wymiary: Typ rodziny; Liczba dzieci)";"samotni ojcowie";"z jednym dzieckiem";"";"-";2097;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci oraz typu rodziny (Wymiary: Typ rodziny; Liczba dzieci)";"samotni ojcowie";"z dwójką dzieci";"";"-";499;;
"NARODOWE SPISY POWSZECHNE";"NSP 2002 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci oraz typu rodziny (Wymiary: Typ rodziny; Liczba dzieci)";"samotni ojcowie";"z trójką dzieci lub więcej";"";"-";100;;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - DOJAZDY DO PRACY";"Dojazdy do pracy (Wymiary: Dojazdy do pracy)";"liczba osób wyjeżdżających do pracy";"";"";"osoba";;0;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - DOJAZDY DO PRACY";"Dojazdy do pracy (Wymiary: Dojazdy do pracy)";"liczba osób przyjeżdżających do pracy";"";"";"osoba";;0;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - DOJAZDY DO PRACY";"Dojazdy do pracy (Wymiary: Dojazdy do pracy)";"saldo przyjazdów i wyjazdów do pracy";"";"";"osoba";;0;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - DOJAZDY DO PRACY";"Dojazdy do pracy (Wymiary: Dojazdy do pracy)";"liczba osób przyjeżdżających do pracy przypadająca na 1 osobę wyjeżdżającą do pracy";"";"";"osoba";;0,00;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg liczby osób (Wymiary: Liczba osób; Wartość i precyzja)";"ogółem";"wartość liczbowa";"";"gosp.";;272981;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg liczby osób (Wymiary: Liczba osób; Wartość i precyzja)";"ogółem";"wskaźnik precyzji";"";"%";;0,26;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg liczby osób (Wymiary: Liczba osób; Wartość i precyzja)";"osoby w gospodarstwie domowym - 1";"wartość liczbowa";"";"osoba";;92713;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg liczby osób (Wymiary: Liczba osób; Wartość i precyzja)";"osoby w gospodarstwie domowym - 1";"wskaźnik precyzji";"";"%";;1,02;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg liczby osób (Wymiary: Liczba osób; Wartość i precyzja)";"osoby w gospodarstwie domowym - 2";"wartość liczbowa";"";"osoba";;81495;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg liczby osób (Wymiary: Liczba osób; Wartość i precyzja)";"osoby w gospodarstwie domowym - 2";"wskaźnik precyzji";"";"%";;0,95;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg liczby osób (Wymiary: Liczba osób; Wartość i precyzja)";"osoby w gospodarstwie domowym - 3";"wartość liczbowa";"";"osoba";;51620;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg liczby osób (Wymiary: Liczba osób; Wartość i precyzja)";"osoby w gospodarstwie domowym - 3";"wskaźnik precyzji";"";"%";;1,21;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg liczby osób (Wymiary: Liczba osób; Wartość i precyzja)";"osoby w gospodarstwie domowym - 4";"wartość liczbowa";"";"osoba";;31719;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg liczby osób (Wymiary: Liczba osób; Wartość i precyzja)";"osoby w gospodarstwie domowym - 4";"wskaźnik precyzji";"";"%";;1,54;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg liczby osób (Wymiary: Liczba osób; Wartość i precyzja)";"osoby w gospodarstwie domowym - 5 i więcej";"wartość liczbowa";"";"osoba";;15434;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg liczby osób (Wymiary: Liczba osób; Wartość i precyzja)";"osoby w gospodarstwie domowym - 5 i więcej";"wskaźnik precyzji";"";"%";;2,15;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg liczby osób (Wymiary: Liczba osób; Wartość i precyzja)";"ludność w gospodarstwach domowych";"wartość liczbowa";"";"osoba";;624165;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg liczby osób (Wymiary: Liczba osób; Wartość i precyzja)";"ludność w gospodarstwach domowych";"wskaźnik precyzji";"";"%";;0,27;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg liczby osób (Wymiary: Liczba osób; Wartość i precyzja)";"przeciętna liczba osób w gospodarstwie domowym";"wartość liczbowa";"";"osoba";;2,29;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg liczby osób (Wymiary: Liczba osób; Wartość i precyzja)";"przeciętna liczba osób w gospodarstwie domowym";"wskaźnik precyzji";"";"%";;0,27;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg składu rodzinnego (Wymiary: Gospodarstwa domowe; Wartość i precyzja)";"ogółem";"wartość liczbowa";"";"gosp.";;272981;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg składu rodzinnego (Wymiary: Gospodarstwa domowe; Wartość i precyzja)";"ogółem";"wskaźnik precyzji";"";"%";;0,26;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg składu rodzinnego (Wymiary: Gospodarstwa domowe; Wartość i precyzja)";"jednorodzinne";"wartość liczbowa";"";"gosp.";;157992;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg składu rodzinnego (Wymiary: Gospodarstwa domowe; Wartość i precyzja)";"jednorodzinne";"wskaźnik precyzji";"";"%";;0,51;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg składu rodzinnego (Wymiary: Gospodarstwa domowe; Wartość i precyzja)";"dwurodzinne";"wartość liczbowa";"";"gosp.";;9596;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg składu rodzinnego (Wymiary: Gospodarstwa domowe; Wartość i precyzja)";"dwurodzinne";"wskaźnik precyzji";"";"%";;3,31;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg składu rodzinnego (Wymiary: Gospodarstwa domowe; Wartość i precyzja)";"trzy i więcej rodzinne";"wartość liczbowa";"";"gosp.";;710;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg składu rodzinnego (Wymiary: Gospodarstwa domowe; Wartość i precyzja)";"trzy i więcej rodzinne";"wskaźnik precyzji";"";"%";;13,31;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg składu rodzinnego (Wymiary: Gospodarstwa domowe; Wartość i precyzja)";"nierodzinne ogółem";"wartość liczbowa";"";"gosp.";;104683;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg składu rodzinnego (Wymiary: Gospodarstwa domowe; Wartość i precyzja)";"nierodzinne ogółem";"wskaźnik precyzji";"";"%";;0,93;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg składu rodzinnego (Wymiary: Gospodarstwa domowe; Wartość i precyzja)";"nierodzinne 1 osobowe";"wartość liczbowa";"";"gosp.";;92713;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg składu rodzinnego (Wymiary: Gospodarstwa domowe; Wartość i precyzja)";"nierodzinne 1 osobowe";"wskaźnik precyzji";"";"%";;1,02;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg składu rodzinnego (Wymiary: Gospodarstwa domowe; Wartość i precyzja)";"nierodzinne wieloosobowe";"wartość liczbowa";"";"gosp.";;11970;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Gospodarstwa domowe wg składu rodzinnego (Wymiary: Gospodarstwa domowe; Wartość i precyzja)";"nierodzinne wieloosobowe";"wskaźnik precyzji";"";"%";;3,30;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny wg typów (Wymiary: Typ rodziny; Wartość i precyzja)";"ogółem";"wartość liczbowa";"";"-";;179428;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny wg typów (Wymiary: Typ rodziny; Wartość i precyzja)";"ogółem";"wskaźnik precyzji";"";"%";;0,24;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny wg typów (Wymiary: Typ rodziny; Wartość i precyzja)";"małżeństwa razem";"wartość liczbowa";"";"-";;118612;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny wg typów (Wymiary: Typ rodziny; Wartość i precyzja)";"małżeństwa razem";"wskaźnik precyzji";"";"%";;0,62;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny wg typów (Wymiary: Typ rodziny; Wartość i precyzja)";"małżeństwa bez dzieci";"wartość liczbowa";"";"-";;48943;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny wg typów (Wymiary: Typ rodziny; Wartość i precyzja)";"małżeństwa bez dzieci";"wskaźnik precyzji";"";"%";;1,34;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny wg typów (Wymiary: Typ rodziny; Wartość i precyzja)";"małżeństwa z dziećmi";"wartość liczbowa";"";"-";;69669;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny wg typów (Wymiary: Typ rodziny; Wartość i precyzja)";"małżeństwa z dziećmi";"wskaźnik precyzji";"";"%";;0,95;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny wg typów (Wymiary: Typ rodziny; Wartość i precyzja)";"partnerzy razem";"wartość liczbowa";"";"osoba";;10977;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny wg typów (Wymiary: Typ rodziny; Wartość i precyzja)";"partnerzy razem";"wskaźnik precyzji";"";"%";;3,35;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny wg typów (Wymiary: Typ rodziny; Wartość i precyzja)";"partnerzy bez dzieci";"wartość liczbowa";"";"osoba";;7453;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny wg typów (Wymiary: Typ rodziny; Wartość i precyzja)";"partnerzy bez dzieci";"wskaźnik precyzji";"";"%";;4,09;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny wg typów (Wymiary: Typ rodziny; Wartość i precyzja)";"partnerzy z dziećmi";"wartość liczbowa";"";"osoba";;3524;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny wg typów (Wymiary: Typ rodziny; Wartość i precyzja)";"partnerzy z dziećmi";"wskaźnik precyzji";"";"%";;6,31;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny wg typów (Wymiary: Typ rodziny; Wartość i precyzja)";"matki z dziećmi";"wartość liczbowa";"";"osoba";;42066;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny wg typów (Wymiary: Typ rodziny; Wartość i precyzja)";"matki z dziećmi";"wskaźnik precyzji";"";"%";;1,57;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny wg typów (Wymiary: Typ rodziny; Wartość i precyzja)";"ojcowie z dziećmi";"wartość liczbowa";"";"osoba";;7773;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny wg typów (Wymiary: Typ rodziny; Wartość i precyzja)";"ojcowie z dziećmi";"wskaźnik precyzji";"";"%";;4,07;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci do lat 24 pozostających na utrzymaniu (Wymiary: Rodziny; Wartość i precyzja)";"ogółem";"wartość liczbowa";"";"-";;123032;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci do lat 24 pozostających na utrzymaniu (Wymiary: Rodziny; Wartość i precyzja)";"ogółem";"wskaźnik precyzji";"";"%";;0,56;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci do lat 24 pozostających na utrzymaniu (Wymiary: Rodziny; Wartość i precyzja)";"rodziny bez dzieci do lat 24 na utrzymaniu";"wartość liczbowa";"";"-";;46711;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci do lat 24 pozostających na utrzymaniu (Wymiary: Rodziny; Wartość i precyzja)";"rodziny bez dzieci do lat 24 na utrzymaniu";"wskaźnik precyzji";"";"%";;1,41;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci do lat 24 pozostających na utrzymaniu (Wymiary: Rodziny; Wartość i precyzja)";"rodziny z dziećmi do lat 24 pozostającymi na utrzymaniu razem";"wartość liczbowa";"";"-";;76321;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci do lat 24 pozostających na utrzymaniu (Wymiary: Rodziny; Wartość i precyzja)";"rodziny z dziećmi do lat 24 pozostającymi na utrzymaniu razem";"wskaźnik precyzji";"";"%";;0,92;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci do lat 24 pozostających na utrzymaniu (Wymiary: Rodziny; Wartość i precyzja)";"rodziny z 1 dzieckiem do lat 24 pozostającym na utrzymaniu";"wartość liczbowa";"";"-";;48670;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci do lat 24 pozostających na utrzymaniu (Wymiary: Rodziny; Wartość i precyzja)";"rodziny z 1 dzieckiem do lat 24 pozostającym na utrzymaniu";"wskaźnik precyzji";"";"%";;1,40;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci do lat 24 pozostających na utrzymaniu (Wymiary: Rodziny; Wartość i precyzja)";"rodziny z 2 dzieci do lat 24 pozostającymi na utrzymaniu";"wartość liczbowa";"";"-";;23684;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci do lat 24 pozostających na utrzymaniu (Wymiary: Rodziny; Wartość i precyzja)";"rodziny z 2 dzieci do lat 24 pozostającymi na utrzymaniu";"wskaźnik precyzji";"";"%";;2,08;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci do lat 24 pozostających na utrzymaniu (Wymiary: Rodziny; Wartość i precyzja)";"rodziny z 3 dzieci do lat 24 pozostającymi na utrzymaniu";"wartość liczbowa";"";"-";;3174;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci do lat 24 pozostających na utrzymaniu (Wymiary: Rodziny; Wartość i precyzja)";"rodziny z 3 dzieci do lat 24 pozostającymi na utrzymaniu";"wskaźnik precyzji";"";"%";;6,11;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci do lat 24 pozostających na utrzymaniu (Wymiary: Rodziny; Wartość i precyzja)";"rodziny z 4 i więcej dzieci do lat 24 pozostającymi na utrzymaniu";"wartość liczbowa";"";"-";;793;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci do lat 24 pozostających na utrzymaniu (Wymiary: Rodziny; Wartość i precyzja)";"rodziny z 4 i więcej dzieci do lat 24 pozostającymi na utrzymaniu";"wskaźnik precyzji";"";"%";;12,47;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci do lat 24 pozostających na utrzymaniu (Wymiary: Rodziny; Wartość i precyzja)";"dzieci do lat 24 pozostający na utrzymaniu";"wartość liczbowa";"";"osoba";;108889;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci do lat 24 pozostających na utrzymaniu (Wymiary: Rodziny; Wartość i precyzja)";"dzieci do lat 24 pozostający na utrzymaniu";"wskaźnik precyzji";"";"%";;1,02;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - GOSPODARSTWA DOMOWE I RODZINY";"Rodziny z dziećmi wg liczby dzieci do lat 24 pozostających na utrzymaniu (Wymiary: Rodziny; Wartość i precyzja)";"dzieci w rodzinie ogółem";"wartość liczbowa";"";"osoba";;175217;
